Gene,p_value,log2FC,adj_p_value
LINC00906,1.6365259937438155e-19,-2.5776545177772325,4.112925380693648e-18
LINC01532,3.3315226605275055e-18,-1.9216078810350352,6.616575209481843e-17
C19orf12,3.4074465662585735e-15,-1.1422495211119639,4.068699874533201e-14
CCNE1,4.0397597186862974e-14,1.6946693750047128,4.109638989672974e-13
ZNF536,2.704615042727623e-06,-1.0120516235468668,8.994958739749385e-06
AC025809.2,1.4715073035184706e-12,-1.4018415923663863,1.1931463843600633e-11
AC007773.1,5.542134360606145e-09,1.0076487775589884,2.7024951303411506e-08
FAAP24,7.722226341514444e-18,1.1066209383156353,1.4400374222477502e-16
SLC7A10,4.054004194418365e-19,-4.917406098759164,9.513095096617172e-18
AC008738.4,2.6688633316837268e-11,-1.990649555531853,1.83282918992184e-10
AC008738.6,5.462457965716368e-10,-1.188520084031138,3.0768163740859863e-09
CEBPA,7.424810986403675e-11,-1.758817549235724,4.801217198208175e-10
CEBPA-DT,8.58901645783079e-10,-1.1485126992164512,4.688676986507399e-09
AC008738.2,3.318830409544981e-11,-1.2261373456832685,2.2534489589656975e-10
AC008556.1,8.661534161037284e-06,1.0713700171586682,2.6744410958350405e-05
WTIP,3.7162907405792e-12,-1.1776694297853503,2.86592757316071e-11
LINC01801,4.7637977815566943e-11,-1.6624278588799752,3.1614522021846543e-10
AC008555.1,0.00016166328484581064,-1.0686291165354662,0.00040529789172239573
GRAMD1A,4.014731323977514e-21,1.0926353967879479,1.3949902216910492e-19
HPN,4.703487208550306e-09,1.784057446014483,2.317639686600629e-08
HPN-AS1,4.4089705371819735e-05,1.0816408583710024,0.00012143505935948662
LGI4,1.482238531892255e-24,-2.568081228547171,2.184369733731022e-22
FXYD1,2.0983634590033013e-23,-2.580630929582575,1.7582614523515713e-21
FAM187B2P,2.923779860949569e-15,-1.4793976497782757,3.5310981649746165e-14
LSR,5.53747551677953e-22,1.7574241706763267,2.845676359871207e-20
HAMP,0.00020708284764093626,1.05927832542109,0.000510449448197385
MAG,0.00014971105252877838,1.454194785450876,0.0003773814578019935
CD22,3.389333731524959e-05,1.1077620360537397,9.505543524811541e-05
FFAR3,2.484039203516109e-07,-1.3928695695884714,9.6206668160312e-07
SBSN,0.0047244969973739325,1.1592083777253865,0.009127970171838001
PSENEN,6.36441022502678e-20,1.299627660534707,1.740145855383361e-18
HSPB6,8.685602798706177e-24,-4.43789392393011,8.462391488723454e-22
NPHS1,9.640048192077762e-08,1.683252074963212,3.9759031386992616e-07
APLP1,3.605068984320651e-10,1.6246596989295439,2.082647692375844e-09
SYNE4,4.535832454010621e-16,2.0208946817162676,6.261998621767264e-15
CLIP3,3.3943514114599544e-14,-1.0368357670312207,3.4957314088013553e-13
WDR62,1.6394564652151779e-24,2.7555925793639844,2.3431235533418734e-22
TBCB,7.150998741463787e-22,1.1109355827213445,3.3337385041666395e-20
COX7A1,2.215831326245696e-20,-2.256871272810507,6.576990254720179e-19
AC016590.4,2.173425644872357e-09,-2.1689629659064193,1.1236189308476065e-08
ZNF540,4.1835475631826924e-11,-1.2058686352446983,2.7999236686337035e-10
ZNF781,1.1661340134216946e-21,-1.7776177046016572,4.60543895978449e-20
AC016582.3,6.930529863046209e-06,-1.1716573119627185,2.1738044557599344e-05
AC016582.1,0.00010351251442948227,-1.0350057682178435,0.0002685228062672747
DPF1,9.557705640235168e-09,1.2983842294062478,4.5197720491730143e-08
SPINT2,1.3144444523407358e-13,1.8581599950573686,1.239455745777267e-12
PPP1R14A,3.1208266562409105e-24,-2.831409821851424,3.83760353176845e-22
YIF1B,7.15054467131064e-22,1.1613954083294846,3.3337385041666395e-20
KCNK6,1.672410175356115e-12,1.2337368363135486,1.3455273729369414e-11
RYR1,6.260309550032644e-12,-1.58405847410872,4.701625300375498e-11
LGALS7B,1.4431294917033275e-05,-1.3414713221642138,4.300321508164581e-05
MRPS12,4.494218071723278e-22,1.283395100163876,2.374584106491227e-20
ERVK9-11,6.389109855659629e-09,-1.0510774896288573,3.0864942177710815e-08
FBXO17,2.298928007226299e-12,-1.3428018006831461,1.8143279713625517e-11
AC011455.8,1.8829174967856342e-06,-1.0773483932489265,6.4050311903412166e-06
PAK4,6.412536436156376e-19,1.4416364653105678,1.4604233612927635e-17
IFNL3,9.709966615602411e-09,1.217288350249916,4.587151041114939e-08
IFNL2,1.8690620049839142e-11,1.3141741054247544,1.3116333959006997e-10
IFNL1,3.6792760327598225e-08,1.418135824953699,1.6065125716479768e-07
LRFN1,8.181499189705482e-14,1.2995819470701129,7.957526972545079e-13
AC011445.1,3.5445109769733455e-07,1.0632791177560534,1.34164310155795e-06
ZFP36,1.743572223116287e-17,-2.1850984133687117,3.0543965947412703e-16
DLL3,7.773234173924382e-05,1.3584289746712699,0.0002058477633220613
LGALS17A,2.5963561788765193e-13,2.4784423648102596,2.345203766247777e-12
AC093063.1,2.0898962726863408e-10,1.202425216877105,1.2536067695869888e-09
CCNP,2.98044130985985e-15,2.768620778762605,3.5937992413127016e-14
AC118344.1,1.0021742922971115e-07,-1.1268069832626892,4.119868571199479e-07
PRX,1.3306308543449096e-17,-1.5103734910659288,2.382157349546899e-16
LTBP4,2.295199234327574e-25,-2.092223922092071,5.608282309736937e-23
CYP2A6,3.285633689119243e-08,-1.743894127651778,1.444961569225525e-07
CYP2G1P,0.0012017606127800661,-1.07473866357991,0.002595249255812078
CYP2A7P2,0.0014915088172865896,1.5442294854323093,0.0031664464655780434
CYP2B7P,0.0022730785780598916,1.729828441507797,0.004660260798491232
AC092071.1,0.00017690479032557264,1.5785969947335134,0.0004411728470922986
AC011510.1,9.4367854074994e-09,-1.060990136919496,4.464819619283351e-08
ERICH4,9.45608745769314e-18,-2.148953510096493,1.7385429921003394e-16
PCAT19,1.6000715017760077e-17,-1.5253813308633744,2.826544219135472e-16
CEACAM7,0.0029623659120773765,1.239916342552362,0.005959031578182418
CEACAM5,9.676526191991899e-11,4.147134561717411,6.093926720909565e-10
CEACAM6,2.481974943327154e-08,3.0296436975368657,1.1074731268092911e-07
ERFL,6.598268180535601e-06,1.001111545749548,2.075604726491739e-05
RABAC1,7.785257599700241e-14,1.1280568587208268,7.595539575761127e-13
ATP1A3,6.751080714250153e-13,1.9034525234004125,5.7303996183664345e-12
GRIK5,2.989067054327229e-07,-1.0250647550663725,1.1433989053185484e-06
PAFAH1B3,6.755645863676002e-27,2.849088709817895,8.674816659110338e-24
PRR19,8.195966851563953e-24,2.1258473364346298,8.168790750950873e-22
TMEM145,3.074841071678349e-13,2.541215093350269,2.7472642309211084e-12
CNFN,2.8371911710861093e-07,1.1178162204420055,1.0888213437401491e-06
LIPE-AS1,2.529783992857711e-18,-1.8847644196774,5.118217892387444e-17
LIPE,1.7979385357998155e-21,-4.3653059125346765,6.802709700787433e-20
CEACAM8,1.916935813425862e-11,-1.0955962686058331,1.3432382423254598e-10
CEACAMP5,3.2120545738682127e-09,-1.3358326724790386,1.6246441630700412e-08
PSG4,0.0125912261156157,-1.2577216751119575,0.02226330989275579
CD177,5.9272069493829146e-05,1.7013851633390025,0.0001599138310307227
LYPD3,5.509007143663875e-09,1.6028081089210424,2.6875071643025717e-08
PHLDB3,3.3846636250125474e-12,1.3236541518523115,2.6273980351245177e-11
PINLYP,3.2251291459604864e-15,-1.0636144632167426,3.869133394808599e-14
ZNF428,1.1897068781739104e-13,1.2234701312025518,1.1333942304012777e-12
PLAUR,8.324687104145115e-16,1.5796572449432595,1.0936149822490187e-14
AC006213.2,3.861892637246045e-05,-1.0009614347290472,0.00010732706321034394
ZNF221,4.4489997859988657e-07,-1.0527290698723588,1.656359165387998e-06
BCL3,7.465852853586924e-15,1.1437577160017387,8.450738522915457e-14
CBLC,8.35987194782889e-11,1.6069863712253234,5.306214012939021e-10
AC092306.1,1.6059652066692672e-08,1.2860769593953219,7.3565948521277e-08
NECTIN2,5.888578372842873e-18,1.3948887082386232,1.1286640551267763e-16
TOMM40,2.7097739002233e-21,1.2903475452679078,9.746436533433738e-20
APOC1,6.837949624843013e-10,1.2899837704012977,3.791908893408444e-09
ZNF296,8.386464249756202e-17,2.077188574597187,1.3103504413996138e-15
PPP1R37,2.3794935554866293e-17,1.2967897842203193,4.0719137444603206e-16
TRAPPC6A,1.2354391707858584e-13,1.024643479416385,1.171870843550931e-12
POLR1G,7.879782532603858e-16,1.159707864286907,1.0384094768261605e-14
FOSB,1.0079328288329708e-20,-4.014799660318838,3.202554358994961e-19
NOVA2,2.379022469486869e-17,-1.480493338471847,4.0719137444603206e-16
IGFL3,6.72370172195113e-16,2.761249913763795,8.966671796379475e-15
IGFL2,6.419954785873437e-15,2.985690580657924,7.352566300579696e-14
HIF3A,1.871502542246156e-26,-5.2283422802601995,1.540897549674585e-23
