"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2964","PPP1R12B",-2.36062974559732,12.2763610318032,-16.7016941920886,1.90496921157807e-37,5.45109826210052e-35,74.5723634176244
"7481","ALDH1L1",-5.14036728818049,8.06862280368657,-16.678642827618,2.20145711309563e-37,6.25213820119158e-35,74.4288884177182
"20210","AC009806.1",-2.38385024364708,3.24340989695704,-16.6643442018774,2.40818436825577e-37,6.78820447445946e-35,74.3398654725278
"19639","AL133482.1",-3.35435068528984,6.92545751298286,-16.6568705365602,2.52387077066945e-37,7.06160346294269e-35,74.2933266084617
"1620","PALMD",-2.98963992642101,11.596189533867,-16.622403969942,3.13380831707051e-37,8.70369174649905e-35,74.0786309855036
"11242","CARMN",-3.45928230655923,10.0801639633793,-16.6153222487778,3.2763742197039e-37,9.03322679026684e-35,74.0345038940856
"5829","ACADL",-5.22799041392457,6.22221231136914,-16.5866223116996,3.92389100463049e-37,1.07400877555727e-34,73.855621060129
"34870","TSHZ2",-3.08479209488368,10.6678238938926,-16.5787126519014,4.12390607055547e-37,1.1206343891872e-34,73.8063071691781
"4759","ITPRIPL1",-3.04174265495239,7.68798597514694,-16.5637296396051,4.53123479417066e-37,1.22252714746725e-34,73.7128768647182
"24669","NDRG2",-2.68607953986528,12.957139927184,-16.5563138729627,4.74752335406548e-37,1.27179753283519e-34,73.6666259791833
"9450","RNF150",-3.39529283238835,10.184687892789,-16.5450150237173,5.09713000917088e-37,1.34846708886408e-34,73.5961467628609
"11007","LRRTM2",-3.03282915588798,5.6255883404417,-16.5447658088973,5.10512532319083e-37,1.34846708886408e-34,73.594592088413
"27776","LINC02185",-2.8790557363681,6.00235041810677,-16.5365253577783,5.37669665228585e-37,1.41033740243153e-34,73.5431823924877
"17961","GSN",-2.45423097177579,15.6136397135455,-16.5340614346935,5.46067567671442e-37,1.42248718386798e-34,73.5278094484795
"13970","HOXA7",-3.19981895620571,5.85485009812786,-16.5285709127245,5.65257163331311e-37,1.46238997077742e-34,73.4935508060105
"12444","CCDC167",1.89752300367982,8.88013386123523,16.5245894885584,5.79593891661511e-37,1.48928030447882e-34,73.46870651328
"21487","SIK2",-2.38366176882014,12.2322345258522,-16.4976405798269,6.86702338845418e-37,1.75257572586954e-34,73.3005039568958
"17476","MAMDC2",-3.79203942470278,9.1256843321024,-16.4873258443737,7.32763831332524e-37,1.85758090181826e-34,73.2361057821084
"37322","CHRDL1",-5.74611867844258,10.7991820800685,-16.4841434133784,7.47591111897085e-37,1.87576686398083e-34,73.2162348018935
"22887","HSD17B6",2.85565492111134,6.43093091533798,16.4836599602538,7.498697354154e-37,1.87576686398083e-34,73.2132160540816
"6509","RBMS3-AS3",-3.25634439150819,4.65349081099685,-16.4794856977865,7.69835795247759e-37,1.91304195119068e-34,73.1871504576924
"29657","NATD1",-1.9404048574112,10.5574023992749,-16.4756158910063,7.88821320230686e-37,1.94740907893814e-34,73.1629845080385
"37394","RHOXF1-AS1",-4.11231726703045,6.51777647443735,-16.4614818777472,8.62239666087635e-37,2.1148387446404e-34,73.074709106897
"17447","CNTNAP3P2",-3.53619738147992,4.19183083310559,-16.4465115317231,9.47486789514827e-37,2.30893361377768e-34,72.9811895933952
"30794","LINC01028",-3.61266280338916,2.57291007422824,-16.4333251064997,1.0295482130962e-36,2.49282660929934e-34,72.8987965945353
"17455","PGM5",-3.35074705187556,9.43322492727106,-16.4250901500948,1.08437194203932e-36,2.60884694233816e-34,72.8473336046101
"27968","PLK1",3.09409414670632,8.3487345337924,16.4240454204996,1.0915331810558e-36,2.60945514650883e-34,72.8408042824494
"13893","ABCB5",-4.45903038904025,5.58596735668852,-16.4159288905718,1.14880819805725e-36,2.7291058652213e-34,72.7900743055524
"34189","ADAM33",-3.680654681638,8.8458639362529,-16.4146371648475,1.15819725494701e-36,2.73421416961616e-34,72.7820001810833
"13613","DACT2",-4.24205102290088,5.54173998360177,-16.4029005141958,1.24710998965603e-36,2.92582848007998e-34,72.7086312835573
"37548","FGF13-AS1",-3.35834796381022,3.84703360303698,-16.3831662679452,1.41230417486414e-36,3.29293538845483e-34,72.5852380732638
