"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","19/2162","37/9373",0.513513513513513,2.22625446908518,4.09210982301689,0.000162748779373589,0.00153071824924349,0.00111122921905153,"124/126/8639/1638/127/4128/125/316/314/4129/218/259307/7173/130/3242/6898/7306/131/222",19
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","60/2162","170/9373",0.352941176470588,1.53011917070251,3.81926239336457,0.00018105654310138,0.00165809676313895,0.00120370000953826,"4629/58494/5010/7122/51421/154810/149461/10398/11346/5111/3993/8777/9223/9071/1080/5521/5602/9075/9693/7430/9475/5519/1740/8531/83700/3725/92359/51208/79778/84790/644672/9080/27134/23562/1366/54566/154796/3688/4217/1741/84612/5522/9073/91862/9414/1365/84952/911/5590/113457/4633/153562/112714/10686/2064/1364/776/909/57530/2626",60
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","55/2162","154/9373",0.357142857142857,1.54833487511563,3.7567349792105,0.000234163965548865,0.00208946307720525,0.0015168515986971,"148/6330/477/154/2770/9586/111/196883/6331/5502/486/10411/3753/482/5499/6332/5578/90993/784/7170/781/5521/153/23236/5519/10000/148327/478/114/109/493/112/785/3776/185/7137/489/5603/27091/147/6547/5522/4634/5350/55799/64208/4633/27092/786/6262/491/7139/810/776/59285",55
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","29/2162","68/9373",0.426470588235294,1.8488939979322,3.84676776002484,0.000254686637564795,0.00221577374681371,0.00160854718461976,"124/8854/8630/126/5959/127/125/216/316/1576/220/130/56603/54884/6121/9249/1562/8608/1543/9227/7364/339761/54490/54577/10720/1548/7363/131/195814",29
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","23/2162","50/9373",0.46,1.99425531914894,3.8596801834785,0.000289553531053116,0.00245767387332889,0.00178415526194475,"948/4233/1311/3043/2995/3040/4035/2532/5175/7099/6403/3082/1440/3039/3569/1378/6382/22914/3820/3592/7060/959/6401",23
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","66/2162","201/9373",0.328358208955224,1.42354370607646,3.32361319984176,0.000886700689876589,0.00727585334144252,0.00528192620068423,"7704/5468/7048/8357/2308/890/7102/4233/3479/2078/862/3205/581/8356/604/1991/6258/4005/1848/8358/79058/4208/894/4804/2209/2313/4094/8864/4211/1050/5077/4318/3569/8352/7490/3206/2119/4609/4286/4353/2892/51513/51804/221037/6935/8968/8013/3195/5154/2115/9915/3248/1031/8355/6692/10912/64332/4314/171558/1053/653604/2138/8842/8353/8350/5081",66
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","64/2162","194/9373",0.329896907216495,1.43021448258104,3.31538862626254,0.00091977687070634,0.00727585334144252,0.00528192620068423,"24137/4629/57519/3833/146909/11004/10112/92558/9928/3832/9493/56992/7140/1770/1062/3835/10398/81930/93661/7138/347733/4619/59/55083/4621/90990/10381/23026/72/7170/283446/79659/127602/84617/25981/4648/1780/57644/1768/26153/4649/347240/84790/3834/57576/7137/347688/1783/124602/4620/80022/4634/58498/113457/4633/146439/112714/7125/53904/7139/547/7136/113220/58",64
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","46/2162","130/9373",0.353846153846154,1.53404255319149,3.35727796600554,0.000919935479952503,0.00727585334144252,0.00528192620068423,"2277/1956/4322/2770/7048/1910/9586/2791/111/196883/5295/4312/51764/4842/54331/5578/2353/59/90993/5602/1906/23236/53358/10000/408/3725/148327/4318/1277/114/109/1288/2788/55970/112/51289/1285/5603/2785/1286/94235/59350/5590/1278/1281/399694",46
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","29/2162","73/9373",0.397260273972603,1.72225742273136,3.39201845617005,0.00103459968485949,0.00800090422958005,0.0058082789325445,"1956/1869/2246/4233/3479/5295/80310/2247/581/1870/2260/5156/2252/10000/2255/2254/3082/1029/4286/8822/2250/56034/5154/1021/10912/8823/1950/26281/999",29
"hsa04382",NA,NA,"hsa04382","Cornified envelope formation","70/2162","217/9373",0.32258064516129,1.39849601623348,3.25197498342586,0.00108561151868788,0.00821288714137788,0.0059621685236863,"667/5010/7122/149461/84283/5493/9071/388697/2312/121391/3909/5521/9075/3914/5317/1828/5519/3655/3856/1823/11187/51208/2125/57402/3875/1288/644672/3880/9080/1308/23562/1366/204219/388698/3852/3861/8688/1285/6705/5522/1286/6768/9073/147409/5652/1365/3857/23581/390792/3918/125115/9333/6283/10686/9119/1830/3872/338785/374454/1364/3848/3866/126410/3881/3854/286887/3713/26154/338324/3868",70
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","52/2162","154/9373",0.337662337662338,1.46388024556387,3.17812202681264,0.00150400574509782,0.0111360425381711,0.00808424140702074,"4881/4660/1956/6263/2770/111/196883/4882/4638/5321/10398/1827/5499/5578/5021/2353/784/3759/781/4208/85366/8536/23236/5997/9475/5743/3725/2982/114/109/340156/3709/112/6261/785/3708/4773/27091/3768/3763/283748/55799/2977/8681/255189/27092/786/6262/810/776/952/59285",52
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","37/2162","102/9373",0.362745098039216,1.5726224809998,3.18384140727574,0.0016892733960086,0.0122472321210624,0.0088909126105716,"1357/477/22802/111/6343/6344/196883/486/482/8671/5578/1080/7220/1358/23236/280/478/114/109/493/5322/3709/683/112/3708/9635/489/3778/5320/5408/1131/1811/6262/491/5645/952/5644",37
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","41/2162","116/9373",0.353448275862069,1.53231761778685,3.15871861443663,0.00174165628114431,0.0123693139966983,0.00897953829161404,"2904/57030/2914/2770/2791/111/196883/2918/85358/2893/5321/51764/5337/54331/5578/157/7220/6512/23236/2906/2890/114/2897/109/2788/6507/2892/2903/2917/3709/55970/112/3708/2785/94235/283748/8681/255189/2901/776/2902",41
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","50/2162","148/9373",0.337837837837838,1.46464109808236,3.11969062855726,0.00181123589817803,0.0126062018513191,0.0091515076960574,"1956/1869/2246/3479/8322/5295/2247/4855/581/2100/1870/3815/6934/2353/2260/7481/2324/2252/53358/10000/2255/3725/83439/2254/2535/8324/51176/4609/28514/7855/8822/675/2250/7480/23493/1021/10912/8313/7477/8326/7484/8823/10683/6932/1950/26281/2064/7475/399694/5241",50
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","37/2162","103/9373",0.359223300970874,1.55735430157262,3.11427055483861,0.00206127725537199,0.0140651859778324,0.0102106613269201,"1357/84570/1300/477/4311/131873/1301/486/7512/59272/482/7373/1358/1803/5222/478/1277/1288/169044/1308/153201/1289/255631/81578/1285/6547/1286/1306/91522/1290/340267/256076/1278/1281/5645/5644/1310",37
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","34/2162","93/9373",0.365591397849462,1.58496215173127,3.10414135963337,0.00219601957528355,0.0146964386961284,0.0106689210135233,"10580/1956/7048/54922/4233/10810/5787/10398/25945/1003/6934/2241/5797/2260/5819/10163/29119/9475/83439/7414/5777/117178/51176/2534/57493/5881/6591/55698/58498/4633/81607/6932/2064/999",34
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","51/2162","155/9373",0.329032258064516,1.42646593655815,2.93142024148466,0.00307988960054581,0.0202226713394329,0.0146807051465937,"1956/2770/9586/1869/111/196883/8322/50940/56246/1870/1395/6934/3739/1583/7481/90993/23236/898/9134/83439/148327/51655/2535/8324/51176/8622/114/1029/109/7855/3164/3709/112/3708/8913/3776/185/7480/1031/1021/1589/8313/7477/3777/3283/8326/7484/6932/7475/776/8912",51
"hsa00650","Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","13/2162","27/9373",0.481481481481481,2.08738479460034,3.09812179159492,0.00368912107370126,0.0236685727131905,0.0171822669424251,"54988/348158/123876/3033/1962/35/54511/5019/142827/6296/341392/3158/2571",13
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","25/2162","65/9373",0.384615384615385,1.66743755781684,2.95655096307173,0.00374072269892379,0.0236685727131905,0.0171822669424251,"9586/111/196883/56246/3739/1583/90993/23236/148327/8622/114/109/3164/3709/112/3708/8913/3776/185/190/1589/3777/3283/776/8912",25
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","32/2162","89/9373",0.359550561797753,1.55877308775686,2.90007450512885,0.00393021462181978,0.0243188331301732,0.0176543253213599,"983/1956/2770/111/196883/80310/3356/5578/347733/10381/1812/5156/1813/153/23236/84617/2982/84790/114/109/3709/112/1902/3708/56034/5154/347688/2977/5593/113457/112714/1950",32
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","36/2162","103/9373",0.349514563106796,1.51526364477336,2.87908497766822,0.00398325715063182,0.0243188331301732,0.0176543253213599,"2774/2920/5295/3908/2921/338382/5578/7099/3909/2335/3914/23236/1511/3915/7414/3554/3569/1277/1288/3315/5275/3910/284217/1285/383/2919/10319/1286/4583/911/3918/3592/3593/1278/1281/909",36
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","20/2162","49/9373",0.408163265306122,1.76952557156072,2.95710128993983,0.00413983627424914,0.0246604918082064,0.0179023533997869,"2904/2770/4128/9586/1020/111/2354/4129/90993/1812/1813/3725/148327/2906/2903/84152/627/8851/6571/2902",20
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","9/2162","16/9373",0.5625,2.43862742830712,3.15345218086716,0.00418094545024189,0.0246604918082064,0.0179023533997869,"8639/4128/314/4129/218/259307/3242/6898/222",9
