"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"20986","AP000821.2",-3.38578964913145,2.53212698788926,-16.4243891218421,1.07158859041825e-36,2.51968501718604e-34,72.8592398292789
"7189","ALDH1L1",-5.03698192687272,8.12031548434045,-16.4109919487253,1.16601166816097e-36,2.72413213190991e-34,72.775464061081
"20737","CRYAB",-3.96448030247255,12.560646950339,-16.4084327822811,1.18497571162235e-36,2.75080412648332e-34,72.7594590490488
"15890","MATN2",-3.25850198732144,11.7980369195755,-16.385571464223,1.36871006127129e-36,3.15721562614516e-34,72.6164571690633
"4275","ANKRD53",-2.71475760724971,6.31925921414522,-16.3479052021949,1.73580188596052e-36,3.97880726639731e-34,72.3807407114917
"6251","RBMS3-AS3",-3.17321754569614,4.69505423390287,-16.3370916511082,1.85838171636356e-36,4.23316125216165e-34,72.3130447531203
"6104","SYN2",-3.65352360664378,8.00206391159388,-16.3304798134366,1.93756866685285e-36,4.38612593988316e-34,72.2716473747369
"22923","TMEM132C",-5.99040004900132,7.84311459457663,-16.3227334162324,2.03465684406975e-36,4.57747551475099e-34,72.2231412367598
"13119","DACT2",-4.17227978940019,5.57662560035211,-16.3204344277582,2.06439840667685e-36,4.61589351716223e-34,72.2087444333467
"16844","CNTNAP3P2",-3.4726811800928,4.22358893379915,-16.2872301827092,2.54590089309275e-36,5.65779902132062e-34,72.0007570906586
